datetime,room,occupied,hour,weekday,is_weekend,occupied_previous,occupied_1hr_ago,occupied_yesterday,occupied_last_week
2026-05-22 19:00:00,1416,0,19,4,0,0.0,0.0,0.0,0.0
2026-05-22 19:15:00,1416,0,19,4,0,0.0,0.0,0.0,0.0
2026-05-22 19:30:00,1416,0,19,4,0,0.0,0.0,0.0,0.0
2026-05-22 19:45:00,1416,0,19,4,0,0.0,0.0,0.0,0.0
2026-05-22 20:00:00,1416,0,20,4,0,0.0,0.0,0.0,0.0
2026-05-22 20:15:00,1416,0,20,4,0,0.0,0.0,0.0,0.0
2026-05-22 20:30:00,1416,0,20,4,0,0.0,0.0,0.0,0.0
2026-05-22 20:45:00,1416,0,20,4,0,0.0,0.0,0.0,0.0
2026-05-22 21:00:00,1416,0,21,4,0,0.0,0.0,0.0,0.0
2026-05-22 21:15:00,1416,0,21,4,0,0.0,0.0,0.0,0.0
2026-05-22 21:30:00,1416,0,21,4,0,0.0,0.0,0.0,0.0
2026-05-22 21:45:00,1416,0,21,4,0,0.0,0.0,0.0,0.0
2026-05-22 22:00:00,1416,0,22,4,0,0.0,0.0,0.0,0.0
2026-05-22 22:15:00,1416,0,22,4,0,0.0,0.0,0.0,0.0
2026-05-22 22:30:00,1416,0,22,4,0,0.0,0.0,0.0,0.0
2026-05-22 22:45:00,1416,0,22,4,0,0.0,0.0,0.0,0.0
2026-05-22 23:00:00,1416,0,23,4,0,0.0,0.0,0.0,0.0
2026-05-23 07:00:00,1416,0,7,5,1,,,0.0,0.0
2026-05-23 07:15:00,1416,0,7,5,1,0.0,,0.0,0.0
2026-05-23 07:30:00,1416,0,7,5,1,0.0,,0.0,0.0
2026-05-23 07:45:00,1416,0,7,5,1,0.0,,0.0,0.0
2026-05-23 08:00:00,1416,0,8,5,1,0.0,0.0,0.0,0.0
2026-05-23 08:15:00,1416,0,8,5,1,0.0,0.0,0.0,0.0
2026-05-23 08:30:00,1416,0,8,5,1,0.0,0.0,0.0,0.0
2026-05-23 08:45:00,1416,0,8,5,1,0.0,0.0,0.0,0.0
2026-05-23 09:00:00,1416,0,9,5,1,0.0,0.0,0.0,0.0
2026-05-23 09:15:00,1416,0,9,5,1,0.0,0.0,0.0,0.0
2026-05-23 09:30:00,1416,0,9,5,1,0.0,0.0,0.0,0.0
2026-05-23 09:45:00,1416,0,9,5,1,0.0,0.0,0.0,0.0
2026-05-23 10:00:00,1416,0,10,5,1,0.0,0.0,0.0,0.0
2026-05-23 10:15:00,1416,0,10,5,1,0.0,0.0,0.0,0.0
2026-05-23 10:30:00,1416,0,10,5,1,0.0,0.0,0.0,0.0
2026-05-23 10:45:00,1416,0,10,5,1,0.0,0.0,0.0,0.0
2026-05-23 11:00:00,1416,0,11,5,1,0.0,0.0,0.0,0.0
2026-05-23 11:15:00,1416,0,11,5,1,0.0,0.0,0.0,0.0
2026-05-23 11:30:00,1416,0,11,5,1,0.0,0.0,0.0,0.0
2026-05-23 11:45:00,1416,0,11,5,1,0.0,0.0,0.0,0.0
2026-05-23 12:00:00,1416,0,12,5,1,0.0,0.0,0.0,0.0
2026-05-23 12:15:00,1416,0,12,5,1,0.0,0.0,0.0,0.0
2026-05-23 12:30:00,1416,0,12,5,1,0.0,0.0,0.0,0.0
2026-05-23 12:45:00,1416,0,12,5,1,0.0,0.0,0.0,0.0
2026-05-23 13:00:00,1416,0,13,5,1,0.0,0.0,0.0,0.0
2026-05-23 13:15:00,1416,0,13,5,1,0.0,0.0,0.0,0.0
2026-05-23 13:30:00,1416,0,13,5,1,0.0,0.0,0.0,0.0
2026-05-23 13:45:00,1416,0,13,5,1,0.0,0.0,0.0,0.0
2026-05-23 14:00:00,1416,0,14,5,1,0.0,0.0,0.0,0.0
2026-05-23 14:15:00,1416,0,14,5,1,0.0,0.0,0.0,0.0
2026-05-23 14:30:00,1416,0,14,5,1,0.0,0.0,0.0,0.0
2026-05-23 14:45:00,1416,0,14,5,1,0.0,0.0,0.0,0.0
2026-05-23 15:00:00,1416,0,15,5,1,0.0,0.0,0.0,0.0
2026-05-23 15:15:00,1416,0,15,5,1,0.0,0.0,0.0,0.0
2026-05-23 15:30:00,1416,0,15,5,1,0.0,0.0,0.0,0.0
2026-05-23 15:45:00,1416,0,15,5,1,0.0,0.0,0.0,0.0
2026-05-23 16:00:00,1416,0,16,5,1,0.0,0.0,0.0,0.0
2026-05-23 16:15:00,1416,0,16,5,1,0.0,0.0,0.0,0.0
2026-05-23 16:30:00,1416,0,16,5,1,0.0,0.0,0.0,0.0
2026-05-23 16:45:00,1416,0,16,5,1,0.0,0.0,0.0,0.0
2026-05-23 17:00:00,1416,0,17,5,1,0.0,0.0,0.0,0.0
2026-05-23 17:15:00,1416,0,17,5,1,0.0,0.0,0.0,0.0
2026-05-23 17:30:00,1416,0,17,5,1,0.0,0.0,0.0,0.0
2026-05-23 17:45:00,1416,0,17,5,1,0.0,0.0,0.0,0.0
2026-05-23 18:00:00,1416,0,18,5,1,0.0,0.0,0.0,0.0
2026-05-23 18:15:00,1416,0,18,5,1,0.0,0.0,0.0,0.0
2026-05-23 18:30:00,1416,0,18,5,1,0.0,0.0,0.0,0.0
2026-05-23 18:45:00,1416,0,18,5,1,0.0,0.0,0.0,0.0
2026-05-23 19:00:00,1416,0,19,5,1,0.0,0.0,0.0,0.0
2026-05-23 19:15:00,1416,0,19,5,1,0.0,0.0,0.0,0.0
2026-05-23 19:30:00,1416,0,19,5,1,0.0,0.0,0.0,0.0
2026-05-23 19:45:00,1416,0,19,5,1,0.0,0.0,0.0,0.0
2026-05-23 20:00:00,1416,0,20,5,1,0.0,0.0,0.0,0.0
2026-05-23 20:15:00,1416,0,20,5,1,0.0,0.0,0.0,0.0
2026-05-23 20:30:00,1416,0,20,5,1,0.0,0.0,0.0,0.0
2026-05-23 20:45:00,1416,0,20,5,1,0.0,0.0,0.0,0.0
2026-05-23 21:00:00,1416,0,21,5,1,0.0,0.0,0.0,0.0
2026-05-23 21:15:00,1416,0,21,5,1,0.0,0.0,0.0,0.0
2026-05-23 21:30:00,1416,0,21,5,1,0.0,0.0,0.0,0.0
2026-05-23 21:45:00,1416,0,21,5,1,0.0,0.0,0.0,0.0
2026-05-23 22:00:00,1416,0,22,5,1,0.0,0.0,0.0,0.0
2026-05-23 22:15:00,1416,0,22,5,1,0.0,0.0,0.0,0.0
2026-05-23 22:30:00,1416,0,22,5,1,0.0,0.0,0.0,0.0
2026-05-23 22:45:00,1416,0,22,5,1,0.0,0.0,0.0,0.0
2026-05-23 23:00:00,1416,0,23,5,1,0.0,0.0,0.0,0.0
2026-05-24 07:00:00,1416,0,7,6,1,,,0.0,0.0
2026-05-24 07:15:00,1416,0,7,6,1,0.0,,0.0,0.0
2026-05-24 07:30:00,1416,0,7,6,1,0.0,,0.0,0.0
2026-05-24 07:45:00,1416,0,7,6,1,0.0,,0.0,0.0
2026-05-24 08:00:00,1416,0,8,6,1,0.0,0.0,0.0,0.0
2026-05-24 08:15:00,1416,0,8,6,1,0.0,0.0,0.0,0.0
2026-05-24 08:30:00,1416,0,8,6,1,0.0,0.0,0.0,0.0
2026-05-24 08:45:00,1416,0,8,6,1,0.0,0.0,0.0,0.0
2026-05-24 09:00:00,1416,0,9,6,1,0.0,0.0,0.0,0.0
2026-05-24 09:15:00,1416,0,9,6,1,0.0,0.0,0.0,0.0
2026-05-24 09:30:00,1416,0,9,6,1,0.0,0.0,0.0,0.0
2026-05-24 09:45:00,1416,0,9,6,1,0.0,0.0,0.0,0.0
2026-05-24 10:00:00,1416,0,10,6,1,0.0,0.0,0.0,0.0
2026-05-24 10:15:00,1416,0,10,6,1,0.0,0.0,0.0,0.0
2026-05-24 10:30:00,1416,0,10,6,1,0.0,0.0,0.0,0.0
2026-05-24 10:45:00,1416,0,10,6,1,0.0,0.0,0.0,0.0
2026-05-24 11:00:00,1416,0,11,6,1,0.0,0.0,0.0,0.0
2026-05-24 11:15:00,1416,0,11,6,1,0.0,0.0,0.0,0.0
2026-05-24 11:30:00,1416,0,11,6,1,0.0,0.0,0.0,0.0
2026-05-24 11:45:00,1416,0,11,6,1,0.0,0.0,0.0,0.0
